shortfall,local_authority_code,age,n_rooms,n
6.779569892473118,E06000001,Old,1.0,186
4.976415094339622,E06000002,Old,1.0,318
5.876123595505617,E06000003,Old,1.0,356
4.60253807106599,E06000004,Old,1.0,394
5.057407407407409,E06000005,Old,1.0,378
5.486776859504132,E06000006,Old,1.0,121
4.2648734177215175,E06000007,Old,1.0,316
6.407235142118864,E06000008,Old,1.0,387
3.2426707597851103,E06000009,Old,1.0,2606
4.48537878787879,E06000010,Old,1.0,1320
6.406433408577876,E06000011,Old,1.0,886
5.713157894736843,E06000012,Old,1.0,494
7.52076923076923,E06000013,Old,1.0,130
3.8376884422110553,E06000014,Old,1.0,597
3.547709163346613,E06000015,Old,1.0,1004
3.1919121084618967,E06000016,Old,1.0,2139
7.84,E06000017,Old,1.0,50
3.198149372108393,E06000018,Old,1.0,1513
7.732825719120134,E06000019,Old,1.0,591
5.8222929936305725,E06000020,Old,1.0,157
5.22244488977956,E06000021,Old,1.0,499
3.6686956521739145,E06000022,Old,1.0,1035
2.957603993344428,E06000023,Old,1.0,3005
3.4643347050754456,E06000024,Old,1.0,729
5.218552036199096,E06000025,Old,1.0,221
3.882636887608068,E06000026,Old,1.0,1388
3.4826973684210545,E06000027,Old,1.0,1520
2.9599637681159416,E06000030,Old,1.0,552
3.660752688172043,E06000031,Old,1.0,372
2.3455031166518254,E06000032,Old,1.0,1123
3.478232044198894,E06000033,Old,1.0,905
5.948543689320389,E06000034,Old,1.0,103
4.430028328611898,E06000035,Old,1.0,706
3.9478260869565216,E06000036,Old,1.0,23
5.412204724409449,E06000037,Old,1.0,254
2.579249146757679,E06000038,Old,1.0,1465
2.7778242677824267,E06000039,Old,1.0,239
3.8694736842105253,E06000040,Old,1.0,285
6.0030769230769225,E06000041,Old,1.0,65
5.434246575342466,E06000042,Old,1.0,146
2.667979882648784,E06000043,Old,1.0,7158
3.497508305647841,E06000044,Old,1.0,1204
2.444191616766467,E06000045,Old,1.0,1670
4.77875939849624,E06000046,Old,1.0,532
8.448834019204389,E06000047,Old,1.0,729
6.771237458193981,E06000049,Old,1.0,598
5.2808176100628925,E06000050,Old,1.0,636
7.158544652701208,E06000051,Old,1.0,907
6.643126520681261,E06000052,Old,1.0,4932
5.486842105263159,E06000053,Old,1.0,38
5.528368794326244,E06000054,Old,1.0,987
3.499305555555556,E06000055,Old,1.0,576
4.80332103321033,E06000056,Old,1.0,271
10.083735909822868,E06000057,Old,1.0,621
2.706488991888761,E06000058,Old,1.0,2589
5.750709219858158,E06000059,Old,1.0,1128
4.541509433962264,E06000060,Old,1.0,159
4.952325581395349,E06000061,Old,1.0,86
4.037158469945354,E06000062,Old,1.0,183
6.310204081632653,E06000063,Old,1.0,98
6.396052631578947,E06000064,Old,1.0,76
6.518713450292396,E06000065,Old,1.0,171
6.101481481481482,E06000066,Old,1.0,135
5.611818181818181,E07000004,Old,1.0,110
6.6979999999999995,E07000005,Old,1.0,50
4.866666666666666,E07000006,Old,1.0,36
3.5065420560747667,E07000007,Old,1.0,214
3.022524752475247,E07000008,Old,1.0,404
6.631858407079646,E07000009,Old,1.0,113
6.805022831050229,E07000010,Old,1.0,219
5.1587628865979385,E07000011,Old,1.0,194
6.12,E07000012,Old,1.0,110
9.134202898550727,E07000026,Old,1.0,345
5.667760617760618,E07000027,Old,1.0,518
8.570370370370373,E07000028,Old,1.0,270
7.900000000000001,E07000029,Old,1.0,263
9.632812499999998,E07000030,Old,1.0,256
7.486247086247085,E07000031,Old,1.0,429
6.48702290076336,E07000032,Old,1.0,262
8.403846153846155,E07000033,Old,1.0,52
4.680246913580247,E07000034,Old,1.0,162
7.130412371134023,E07000035,Old,1.0,194
5.56923076923077,E07000036,Old,1.0,221
6.343913043478262,E07000037,Old,1.0,230
7.565853658536585,E07000038,Old,1.0,41
7.485294117647059,E07000039,Old,1.0,102
6.396756756756758,E07000040,Old,1.0,555
3.6164179104477623,E07000041,Old,1.0,603
6.41212814645309,E07000042,Old,1.0,437
6.4767479674796755,E07000043,Old,1.0,615
6.5956158663883055,E07000044,Old,1.0,479
5.335422740524781,E07000045,Old,1.0,686
7.219829059829061,E07000046,Old,1.0,585
7.928172588832487,E07000047,Old,1.0,394
2.676753121998079,E07000061,Old,1.0,1041
3.644273127753305,E07000062,Old,1.0,908
5.039644970414199,E07000063,Old,1.0,169
4.951612903225808,E07000064,Old,1.0,341
6.349999999999999,E07000065,Old,1.0,212
9.178571428571429,E07000066,Old,1.0,14
5.999456521739131,E07000067,Old,1.0,184
4.668674698795181,E07000068,Old,1.0,83
7.74375,E07000069,Old,1.0,16
6.026865671641791,E07000070,Old,1.0,134
4.343287671232878,E07000071,Old,1.0,365
5.29125,E07000072,Old,1.0,80
3.636666666666666,E07000073,Old,1.0,30
7.33048780487805,E07000074,Old,1.0,82
5.671111111111112,E07000075,Old,1.0,45
4.7555555555555555,E07000076,Old,1.0,468
5.105050505050505,E07000077,Old,1.0,99
3.346061269146607,E07000078,Old,1.0,914
6.8932989690721636,E07000079,Old,1.0,194
7.862162162162163,E07000080,Old,1.0,185
3.8046938775510206,E07000081,Old,1.0,490
6.181446540880503,E07000082,Old,1.0,318
5.638888888888889,E07000083,Old,1.0,126
5.005223880597015,E07000084,Old,1.0,134
6.981428571428572,E07000085,Old,1.0,140
4.331896551724137,E07000086,Old,1.0,116
4.538297872340426,E07000087,Old,1.0,47
4.669158878504672,E07000088,Old,1.0,107
5.158139534883722,E07000089,Old,1.0,43
4.515384615384614,E07000090,Old,1.0,104
6.231016042780749,E07000091,Old,1.0,187
3.758088235294118,E07000092,Old,1.0,136
6.421428571428571,E07000093,Old,1.0,98
5.142391304347826,E07000094,Old,1.0,184
4.409523809523811,E07000095,Old,1.0,63
4.166216216216216,E07000096,Old,1.0,148
3.7797297297297305,E07000098,Old,1.0,74
4.369377990430623,E07000099,Old,1.0,209
7.014814814814814,E07000102,Old,1.0,27
3.031832797427653,E07000103,Old,1.0,311
6.30268456375839,E07000105,Old,1.0,149
3.7844827586206895,E07000106,Old,1.0,464
5.097887323943662,E07000107,Old,1.0,142
4.54020618556701,E07000108,Old,1.0,388
3.6648648648648634,E07000109,Old,1.0,407
3.8181818181818183,E07000110,Old,1.0,484
5.596629213483146,E07000111,Old,1.0,178
4.536124401913875,E07000112,Old,1.0,418
4.762678062678062,E07000113,Old,1.0,351
4.138970588235295,E07000114,Old,1.0,816
5.018932038834952,E07000115,Old,1.0,206
3.6188846641318126,E07000116,Old,1.0,789
6.147071129707111,E07000117,Old,1.0,478
7.2985401459854025,E07000118,Old,1.0,137
4.194279176201374,E07000119,Old,1.0,437
6.615869017632243,E07000120,Old,1.0,397
5.172073342736249,E07000121,Old,1.0,709
6.642741935483872,E07000122,Old,1.0,496
4.187809187279152,E07000123,Old,1.0,566
7.145689655172416,E07000124,Old,1.0,116
7.572946859903381,E07000125,Old,1.0,207
7.05979381443299,E07000126,Old,1.0,97
7.517045454545453,E07000127,Old,1.0,88
4.18010752688172,E07000128,Old,1.0,372
6.531818181818181,E07000129,Old,1.0,44
4.888995215311005,E07000130,Old,1.0,209
7.027160493827158,E07000131,Old,1.0,81
6.5183333333333335,E07000132,Old,1.0,120
5.304347826086958,E07000133,Old,1.0,92
6.95267857142857,E07000134,Old,1.0,112
5.445161290322581,E07000135,Old,1.0,31
6.017129629629631,E07000136,Old,1.0,216
6.923696682464455,E07000137,Old,1.0,422
4.3384279475982535,E07000138,Old,1.0,229
9.247524752475247,E07000139,Old,1.0,101
7.814798206278028,E07000140,Old,1.0,223
6.171538461538461,E07000141,Old,1.0,260
8.083221476510067,E07000142,Old,1.0,149
7.89748743718593,E07000143,Old,1.0,199
6.506451612903225,E07000144,Old,1.0,93
5.01140625,E07000145,Old,1.0,640
6.661670235546038,E07000146,Old,1.0,467
7.204823151125401,E07000147,Old,1.0,311
3.1881170018281537,E07000148,Old,1.0,547
7.833333333333331,E07000149,Old,1.0,213
4.777777777777778,E07000150,Old,1.0,9
7.947272727272726,E07000151,Old,1.0,55
6.928571428571429,E07000152,Old,1.0,105
6.059119496855345,E07000153,Old,1.0,159
4.853243243243244,E07000154,Old,1.0,370
7.806315789473683,E07000155,Old,1.0,95
6.902777777777778,E07000156,Old,1.0,72
6.565822784810126,E07000163,Old,1.0,237
9.048979591836737,E07000164,Old,1.0,147
5.6852459016393455,E07000165,Old,1.0,488
9.32442748091603,E07000166,Old,1.0,131
10.021428571428572,E07000167,Old,1.0,168
5.616761363636362,E07000168,Old,1.0,704
8.5,E07000169,Old,1.0,85
6.772268907563026,E07000170,Old,1.0,119
5.689221556886228,E07000171,Old,1.0,167
6.903738317757009,E07000172,Old,1.0,107
5.628205128205129,E07000173,Old,1.0,78
5.529090909090909,E07000174,Old,1.0,110
5.620863309352518,E07000175,Old,1.0,139
4.3826086956521735,E07000176,Old,1.0,161
4.303461538461537,E07000177,Old,1.0,260
2.8600700525394034,E07000178,Old,1.0,571
7.559876543209877,E07000179,Old,1.0,162
6.6801886792452825,E07000180,Old,1.0,106
7.458536585365854,E07000181,Old,1.0,123
5.4678929765886295,E07000187,Old,1.0,299
6.154545454545456,E07000188,Old,1.0,308
6.564901960784312,E07000189,Old,1.0,510
5.171578947368422,E07000192,Old,1.0,95
5.754656862745097,E07000193,Old,1.0,408
5.071287128712871,E07000194,Old,1.0,101
6.449618320610687,E07000195,Old,1.0,131
9.460416666666665,E07000196,Old,1.0,48
5.6000000000000005,E07000197,Old,1.0,166
8.279017857142858,E07000198,Old,1.0,224
4.7740740740740755,E07000199,Old,1.0,54
6.349038461538461,E07000200,Old,1.0,208
3.8969986357435196,E07000202,Old,1.0,733
8.940571428571428,E07000203,Old,1.0,175
3.7155737704918024,E07000207,Old,1.0,244
3.6415929203539834,E07000208,Old,1.0,113
3.555492957746481,E07000209,Old,1.0,355
4.347183098591549,E07000210,Old,1.0,142
3.496153846153846,E07000211,Old,1.0,208
5.701351351351351,E07000212,Old,1.0,74
3.571717171717171,E07000213,Old,1.0,99
5.709302325581396,E07000214,Old,1.0,43
5.490265486725663,E07000215,Old,1.0,113
5.264467005076144,E07000216,Old,1.0,197
3.2203883495145638,E07000217,Old,1.0,103
7.510344827586208,E07000218,Old,1.0,87
4.741911764705883,E07000219,Old,1.0,136
4.830167597765363,E07000220,Old,1.0,179
6.078542510121456,E07000221,Old,1.0,247
3.882442748091602,E07000222,Old,1.0,393
5.139344262295083,E07000223,Old,1.0,61
3.0965612104539204,E07000224,Old,1.0,727
6.025,E07000225,Old,1.0,244
4.657142857142857,E07000226,Old,1.0,21
6.118918918918919,E07000227,Old,1.0,148
5.050326797385622,E07000228,Old,1.0,153
2.8212271973466,E07000229,Old,1.0,1206
6.97590361445783,E07000234,Old,1.0,83
7.766857142857146,E07000235,Old,1.0,175
5.038392857142859,E07000236,Old,1.0,112
3.293190661478599,E07000237,Old,1.0,514
5.36153846153846,E07000238,Old,1.0,182
5.966321243523316,E07000239,Old,1.0,193
3.886387434554973,E07000240,Old,1.0,191
3.6366666666666676,E07000241,Old,1.0,60
5.148888888888887,E07000242,Old,1.0,135
4.022222222222222,E07000243,Old,1.0,9
5.460310880829018,E07000244,Old,1.0,965
5.8228295819935685,E07000245,Old,1.0,311
5.724629080118694,E07000246,Old,1.0,674
4.097055837563452,E08000001,Old,1.0,985
5.982006920415226,E08000002,Old,1.0,289
3.285581222056634,E08000003,Old,1.0,2684
5.944339622641511,E08000004,Old,1.0,424
5.319912472647704,E08000005,Old,1.0,457
3.2747887323943674,E08000006,Old,1.0,710
4.162217194570135,E08000007,Old,1.0,442
4.903307392996108,E08000008,Old,1.0,514
3.526391382405745,E08000009,Old,1.0,557
5.87508896797153,E08000010,Old,1.0,562
5.909523809523811,E08000011,Old,1.0,63
4.363143704502559,E08000012,Old,1.0,3709
5.723809523809525,E08000013,Old,1.0,231
4.1998006644518275,E08000014,Old,1.0,1505
5.116844349680173,E08000015,Old,1.0,938
5.526060606060605,E08000016,Old,1.0,330
4.59104704097117,E08000017,Old,1.0,659
4.718042813455658,E08000018,Old,1.0,327
3.8177033492822963,E08000019,Old,1.0,1254
2.9064356435643575,E08000021,Old,1.0,606
5.082078853046594,E08000022,Old,1.0,279
5.546875,E08000023,Old,1.0,96
3.7837471783295697,E08000024,Old,1.0,443
3.4364404843500087,E08000025,Old,1.0,4377
3.017201834862384,E08000026,Old,1.0,1308
5.147603833865815,E08000027,Old,1.0,313
4.866030534351146,E08000028,Old,1.0,524
4.7987179487179485,E08000029,Old,1.0,78
3.9942477876106195,E08000030,Old,1.0,452
3.5286075949367093,E08000031,Old,1.0,790
5.409088382434691,E08000032,Old,1.0,3598
7.130316091954022,E08000033,Old,1.0,1392
4.887804878048782,E08000034,Old,1.0,2296
3.8506498700259937,E08000035,Old,1.0,5001
5.2113360323886635,E08000036,Old,1.0,494
6.331343283582089,E08000037,Old,1.0,201
2.027638190954773,E09000001,Old,1.0,199
3.8929203539823005,E09000002,Old,1.0,113
1.910303830911492,E09000003,Old,1.0,3028
2.504918032786885,E09000004,Old,1.0,671
1.8782324455205825,E09000005,Old,1.0,4130
3.2063687150838005,E09000006,Old,1.0,895
1.7924411550594546,E09000007,Old,1.0,8242
2.4667826086956546,E09000008,Old,1.0,2875
2.107399244332496,E09000009,Old,1.0,3176
2.5246482836240856,E09000010,Old,1.0,1777
2.445627376425856,E09000011,Old,1.0,1052
1.949960053262318,E09000012,Old,1.0,3755
2.5401300975731824,E09000013,Old,1.0,3997
2.032194679564689,E09000014,Old,1.0,6616
2.258620689655171,E09000015,Old,1.0,754
3.1909420289855075,E09000016,Old,1.0,276
2.085390946502058,E09000017,Old,1.0,486
2.3315924657534244,E09000018,Old,1.0,1168
2.01734135667396,E09000019,Old,1.0,3656
1.9367709026391633,E09000020,Old,1.0,9018
2.797258771929824,E09000021,Old,1.0,912
2.0915876489180647,E09000022,Old,1.0,4113
2.1743113587124747,E09000023,Old,1.0,3231
2.516903073286052,E09000024,Old,1.0,846
3.0396380090497748,E09000025,Old,1.0,1105
3.072273324572931,E09000026,Old,1.0,761
2.8161236424394325,E09000027,Old,1.0,1197
2.3893353941267397,E09000028,Old,1.0,1941
2.7310725552050474,E09000029,Old,1.0,634
2.4378999179655447,E09000030,Old,1.0,1219
2.688244514106582,E09000031,Old,1.0,1914
2.6704701049748967,E09000032,Old,1.0,2191
